nohup: ignoring input
2024-06-28 04:58:59.029773: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-06-28 04:59:00.200368: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/chiara/DataAUG/Generation_GAN/main.py:62: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:78.)
  valid = Variable(Tensor(imgs.shape[0], 1).fill_(1.0), requires_grad=False)
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
netbios_ssn2
[Epoch 22/500] [Batch 2/7] [D loss: 0.000931] [G loss: 8.152067]
[Epoch 22/500] [Batch 3/7] [D loss: 0.000891] [G loss: 8.107298]
[Epoch 22/500] [Batch 4/7] [D loss: 0.000829] [G loss: 8.177733]
[Epoch 22/500] [Batch 5/7] [D loss: 0.000941] [G loss: 8.175582]
[Epoch 22/500] [Batch 6/7] [D loss: 0.000622] [G loss: 8.259525]
[Epoch 23/500] [Batch 0/7] [D loss: 0.000682] [G loss: 8.995932]
[Epoch 23/500] [Batch 1/7] [D loss: 0.000783] [G loss: 8.341209]
[Epoch 23/500] [Batch 2/7] [D loss: 0.000843] [G loss: 8.169416]
[Epoch 23/500] [Batch 3/7] [D loss: 0.000799] [G loss: 8.323167]
[Epoch 23/500] [Batch 4/7] [D loss: 0.000709] [G loss: 8.207573]
[Epoch 23/500] [Batch 5/7] [D loss: 0.000793] [G loss: 8.067463]
[Epoch 23/500] [Batch 6/7] [D loss: 0.000720] [G loss: 7.948874]
[Epoch 24/500] [Batch 0/7] [D loss: 0.000642] [G loss: 8.393919]
[Epoch 24/500] [Batch 1/7] [D loss: 0.000821] [G loss: 8.076521]
[Epoch 24/500] [Batch 2/7] [D loss: 0.000866] [G loss: 8.037456]
[Epoch 24/500] [Batch 3/7] [D loss: 0.000704] [G loss: 7.942051]
[Epoch 24/500] [Batch 4/7] [D loss: 0.000825] [G loss: 8.028379]
[Epoch 24/500] [Batch 5/7] [D loss: 0.000847] [G loss: 8.345862]
[Epoch 24/500] [Batch 6/7] [D loss: 0.000702] [G loss: 8.308684]
[Epoch 25/500] [Batch 0/7] [D loss: 0.000632] [G loss: 8.829777]
[Epoch 25/500] [Batch 1/7] [D loss: 0.000745] [G loss: 8.334261]
[Epoch 25/500] [Batch 2/7] [D loss: 0.000598] [G loss: 8.343967]
[Epoch 25/500] [Batch 3/7] [D loss: 0.000870] [G loss: 8.171294]
[Epoch 25/500] [Batch 4/7] [D loss: 0.000690] [G loss: 8.129568]
[Epoch 25/500] [Batch 5/7] [D loss: 0.000778] [G loss: 8.208977]
[Epoch 25/500] [Batch 6/7] [D loss: 0.000588] [G loss: 8.447130]
[Epoch 26/500] [Batch 0/7] [D loss: 0.000486] [G loss: 8.921630]
[Epoch 26/500] [Batch 1/7] [D loss: 0.000631] [G loss: 8.271225]
[Epoch 26/500] [Batch 2/7] [D loss: 0.000706] [G loss: 8.066525]
[Epoch 26/500] [Batch 3/7] [D loss: 0.000699] [G loss: 8.268353]
[Epoch 26/500] [Batch 4/7] [D loss: 0.000757] [G loss: 8.110781]
[Epoch 26/500] [Batch 5/7] [D loss: 0.000600] [G loss: 8.199930]
[Epoch 26/500] [Batch 6/7] [D loss: 0.000564] [G loss: 8.154779]
[Epoch 27/500] [Batch 0/7] [D loss: 0.000570] [G loss: 8.654173]
[Epoch 27/500] [Batch 1/7] [D loss: 0.000672] [G loss: 8.181583]
[Epoch 27/500] [Batch 2/7] [D loss: 0.000650] [G loss: 8.173746]
[Epoch 27/500] [Batch 3/7] [D loss: 0.000687] [G loss: 8.030110]
[Epoch 27/500] [Batch 4/7] [D loss: 0.000625] [G loss: 8.195637]
[Epoch 27/500] [Batch 5/7] [D loss: 0.000657] [G loss: 8.177286]
[Epoch 27/500] [Batch 6/7] [D loss: 0.000522] [G loss: 8.022283]
[Epoch 28/500] [Batch 0/7] [D loss: 0.000555] [G loss: 8.481264]
[Epoch 28/500] [Batch 1/7] [D loss: 0.000551] [G loss: 8.218315]
[Epoch 28/500] [Batch 2/7] [D loss: 0.000692] [G loss: 8.120896]
[Epoch 28/500] [Batch 3/7] [D loss: 0.000572] [G loss: 8.072919]
[Epoch 28/500] [Batch 4/7] [D loss: 0.000644] [G loss: 8.115707]
[Epoch 28/500] [Batch 5/7] [D loss: 0.000517] [G loss: 8.084518]
[Epoch 28/500] [Batch 6/7] [D loss: 0.000564] [G loss: 8.424279]
[Epoch 29/500] [Batch 0/7] [D loss: 0.000438] [G loss: 8.726555]
[Epoch 29/500] [Batch 1/7] [D loss: 0.000647] [G loss: 8.024948]
[Epoch 29/500] [Batch 2/7] [D loss: 0.000700] [G loss: 8.047010]
[Epoch 29/500] [Batch 3/7] [D loss: 0.000709] [G loss: 7.936265]
[Epoch 29/500] [Batch 4/7] [D loss: 0.000603] [G loss: 8.214834]
[Epoch 29/500] [Batch 5/7] [D loss: 0.000617] [G loss: 8.233709]
[Epoch 29/500] [Batch 6/7] [D loss: 0.000604] [G loss: 7.921751]
[Epoch 30/500] [Batch 0/7] [D loss: 0.000568] [G loss: 8.749013]
[Epoch 30/500] [Batch 1/7] [D loss: 0.000587] [G loss: 8.238953]
[Epoch 30/500] [Batch 2/7] [D loss: 0.000708] [G loss: 8.069199]
[Epoch 30/500] [Batch 3/7] [D loss: 0.000541] [G loss: 8.054997]
[Epoch 30/500] [Batch 4/7] [D loss: 0.000674] [G loss: 8.101002]
[Epoch 30/500] [Batch 5/7] [D loss: 0.000593] [G loss: 8.069255]
[Epoch 30/500] [Batch 6/7] [D loss: 0.000571] [G loss: 7.986147]
[Epoch 31/500] [Batch 0/7] [D loss: 0.000484] [G loss: 8.474545]
[Epoch 31/500] [Batch 1/7] [D loss: 0.000560] [G loss: 7.832935]
[Epoch 31/500] [Batch 2/7] [D loss: 0.000585] [G loss: 7.834291]
[Epoch 31/500] [Batch 3/7] [D loss: 0.000602] [G loss: 8.092669]
[Epoch 31/500] [Batch 4/7] [D loss: 0.000594] [G loss: 8.077512]
[Epoch 31/500] [Batch 5/7] [D loss: 0.000511] [G loss: 8.126059]
[Epoch 31/500] [Batch 6/7] [D loss: 0.000577] [G loss: 8.160290]
[Epoch 32/500] [Batch 0/7] [D loss: 0.000579] [G loss: 8.426156]
[Epoch 32/500] [Batch 1/7] [D loss: 0.000565] [G loss: 8.173490]
[Epoch 32/500] [Batch 2/7] [D loss: 0.000610] [G loss: 8.028242]
[Epoch 32/500] [Batch 3/7] [D loss: 0.000614] [G loss: 7.943083]
[Epoch 32/500] [Batch 4/7] [D loss: 0.000616] [G loss: 7.900179]
[Epoch 32/500] [Batch 5/7] [D loss: 0.000584] [G loss: 8.065297]
[Epoch 32/500] [Batch 6/7] [D loss: 0.000509] [G loss: 8.047895]
[Epoch 33/500] [Batch 0/7] [D loss: 0.000507] [G loss: 8.426794]
[Epoch 33/500] [Batch 1/7] [D loss: 0.000630] [G loss: 8.130646]
[Epoch 33/500] [Batch 2/7] [D loss: 0.000581] [G loss: 7.986595]
[Epoch 33/500] [Batch 3/7] [D loss: 0.000598] [G loss: 8.011576]
[Epoch 33/500] [Batch 4/7] [D loss: 0.000548] [G loss: 7.928998]
[Epoch 33/500] [Batch 5/7] [D loss: 0.000581] [G loss: 7.966434]
[Epoch 33/500] [Batch 6/7] [D loss: 0.000580] [G loss: 7.757200]
[Epoch 34/500] [Batch 0/7] [D loss: 0.000505] [G loss: 8.269311]
[Epoch 34/500] [Batch 1/7] [D loss: 0.000562] [G loss: 8.257267]
[Epoch 34/500] [Batch 2/7] [D loss: 0.000672] [G loss: 7.877119]
[Epoch 34/500] [Batch 3/7] [D loss: 0.000558] [G loss: 8.014826]
[Epoch 34/500] [Batch 4/7] [D loss: 0.000573] [G loss: 8.088921]
[Epoch 34/500] [Batch 5/7] [D loss: 0.000613] [G loss: 8.018254]
[Epoch 34/500] [Batch 6/7] [D loss: 0.000714] [G loss: 8.115917]
[Epoch 35/500] [Batch 0/7] [D loss: 0.000439] [G loss: 8.549836]
[Epoch 35/500] [Batch 1/7] [D loss: 0.000587] [G loss: 8.126730]
[Epoch 35/500] [Batch 2/7] [D loss: 0.000553] [G loss: 7.874368]
[Epoch 35/500] [Batch 3/7] [D loss: 0.000586] [G loss: 7.916465]
[Epoch 35/500] [Batch 4/7] [D loss: 0.000583] [G loss: 8.015369]
[Epoch 35/500] [Batch 5/7] [D loss: 0.000563] [G loss: 7.986113]
[Epoch 35/500] [Batch 6/7] [D loss: 0.000547] [G loss: 8.147349]
[Epoch 36/500] [Batch 0/7] [D loss: 0.000457] [G loss: 8.442145]
[Epoch 36/500] [Batch 1/7] [D loss: 0.000427] [G loss: 8.358850]
[Epoch 36/500] [Batch 2/7] [D loss: 0.000557] [G loss: 8.017593]
[Epoch 36/500] [Batch 3/7] [D loss: 0.000577] [G loss: 8.014338]
[Epoch 36/500] [Batch 4/7] [D loss: 0.000678] [G loss: 8.071054]
[Epoch 36/500] [Batch 5/7] [D loss: 0.000553] [G loss: 8.014076]
[Epoch 36/500] [Batch 6/7] [D loss: 0.000449] [G loss: 8.042112]
[Epoch 37/500] [Batch 0/7] [D loss: 0.000412] [G loss: 8.543884]
[Epoch 37/500] [Batch 1/7] [D loss: 0.000693] [G loss: 8.158291]
[Epoch 37/500] [Batch 2/7] [D loss: 0.000561] [G loss: 7.849734]
[Epoch 37/500] [Batch 3/7] [D loss: 0.000519] [G loss: 7.946190]
[Epoch 37/500] [Batch 4/7] [D loss: 0.000509] [G loss: 8.155304]
[Epoch 37/500] [Batch 5/7] [D loss: 0.000541] [G loss: 8.098196]
[Epoch 37/500] [Batch 6/7] [D loss: 0.000488] [G loss: 8.129834]
[Epoch 38/500] [Batch 0/7] [D loss: 0.000489] [G loss: 8.285277]
[Epoch 38/500] [Batch 1/7] [D loss: 0.000482] [G loss: 8.090757]
[Epoch 38/500] [Batch 2/7] [D loss: 0.000535] [G loss: 8.040735]
[Epoch 38/500] [Batch 3/7] [D loss: 0.000546] [G loss: 8.106815]
[Epoch 38/500] [Batch 4/7] [D loss: 0.000545] [G loss: 7.813025]
[Epoch 38/500] [Batch 5/7] [D loss: 0.000555] [G loss: 7.939133]
[Epoch 38/500] [Batch 6/7] [D loss: 0.000580] [G loss: 8.068781]
[Epoch 39/500] [Batch 0/7] [D loss: 0.000395] [G loss: 8.492121]
[Epoch 39/500] [Batch 1/7] [D loss: 0.000485] [G loss: 8.093870]
